Name,Wikidata_ID,ABS_ID
ABBEYDALE,https://wikidata.org/wiki/Q84710758,http://www.aberdeenships.com/single.asp?index=99759
AGNES BLAIKIE,https://wikidata.org/wiki/Q4033567,http://www.aberdeenships.com/single.asp?index=99336
ALBUERA,https://wikidata.org/wiki/Q83448360,http://www.aberdeenships.com/single.asp?index=100692
BARBARA ROBB,https://wikidata.org/wiki/Q84728305,http://www.aberdeenships.com/single.asp?index=101450
BEN BREAC,https://wikidata.org/wiki/Q84727927,http://www.aberdeenships.com/single.asp?index=101314
BRAEMAR,https://wikidata.org/wiki/Q84728198,http://www.aberdeenships.com/single.asp?index=99082
BRILLIANT,https://wikidata.org/wiki/Q81462523,http://www.aberdeenships.com/single.asp?index=99928
CALDARE,https://wikidata.org/wiki/Q84711658,http://www.aberdeenships.com/single.asp?index=99091
CASTLE FORBES,https://wikidata.org/wiki/Q20870314,http://www.aberdeenships.com/single.asp?index=110967
CENTAUR,https://wikidata.org/wiki/Q5058998,http://www.aberdeenships.com/single.asp?index=118535
CIMBA,https://wikidata.org/wiki/Q5120110,http://www.aberdeenships.com/single.asp?index=99419
DANESTON,https://wikidata.org/wiki/Q84727876,http://www.aberdeenships.com/single.asp?index=99870
DRACO,https://wikidata.org/wiki/Q84728120,http://www.aberdeenships.com/single.asp?index=101418
ELISSA,https://wikidata.org/wiki/Q1143837,http://www.aberdeenships.com/single.asp?index=100215
FAIRTRY,https://wikidata.org/wiki/Q1393393,http://www.aberdeenships.com/single.asp?index=99213
FLYING SPUR,https://wikidata.org/wiki/Q5463518,http://www.aberdeenships.com/single.asp?index=100140
FOREMOST 45,https://wikidata.org/wiki/Q84712363,http://www.aberdeenships.com/single.asp?index=100525
FOX,https://wikidata.org/wiki/Q5476571,http://www.aberdeenships.com/single.asp?index=100119
GLENTANNER,https://wikidata.org/wiki/Q16839307,http://www.aberdeenships.com/single.asp?index=141867
GOOLWA,https://wikidata.org/wiki/Q30603076,http://www.aberdeenships.com/single.asp?index=100158
GRETA,https://wikidata.org/wiki/Q84710716,http://www.aberdeenships.com/single.asp?index=99749
INCHGARTH,https://wikidata.org/wiki/Q84711631,http://www.aberdeenships.com/single.asp?index=100447
INVERCAULD,https://wikidata.org/wiki/Q6060032,http://www.aberdeenships.com/single.asp?index=100961
JESSIE WETHERLY,https://wikidata.org/wiki/Q84727687,http://www.aberdeenships.com/single.asp?index=101168
KINI,https://wikidata.org/wiki/Q84711779,http://www.aberdeenships.com/single.asp?index=99103
LOCH EARN,https://wikidata.org/wiki/Q84710751,http://www.aberdeenships.com/single.asp?index=100340
MALCOLM MILLER,https://wikidata.org/wiki/Q6742509,http://www.aberdeenships.com/single.asp?index=101710
MARIEN,https://wikidata.org/wiki/Q84727663,http://www.aberdeenships.com/single.asp?index=99723
MIMOSA,https://wikidata.org/wiki/Q2839107,http://www.aberdeenships.com/single.asp?index=100108
MORAY FIRTH,https://wikidata.org/wiki/Q84712242,http://www.aberdeenships.com/single.asp?index=99088
NOOGANA,https://wikidata.org/wiki/Q84711058,http://www.aberdeenships.com/single.asp?index=101276
PELICAN I,https://wikidata.org/wiki/Q84710860,http://www.aberdeenships.com/single.asp?index=100366
PERICLES,https://wikidata.org/wiki/Q7168402,http://www.aberdeenships.com/single.asp?index=99418
PRINCESS ALICE,https://wikidata.org/wiki/Q84711273,http://www.aberdeenships.com/single.asp?index=100416
PRINCESS LOUISE,https://wikidata.org/wiki/Q84727605,http://www.aberdeenships.com/single.asp?index=100335
QUEEN OF NATIONS,https://wikidata.org/wiki/Q7270620,http://www.aberdeenships.com/single.asp?index=101777
RIVER DEE,https://wikidata.org/wiki/Q84711635,http://www.aberdeenships.com/single.asp?index=99052
ROBIN HOOD,https://wikidata.org/wiki/Q7352496,http://www.aberdeenships.com/single.asp?index=100126
RUBISLAW,https://wikidata.org/wiki/Q84710482,http://www.aberdeenships.com/single.asp?index=101092
RUBISLAW,https://wikidata.org/wiki/Q84727610,http://www.aberdeenships.com/single.asp?index=101085
SAMUEL PLIMSOLL,https://wikidata.org/wiki/Q56816041,http://www.aberdeenships.com/single.asp?index=99411
SANSERIT,https://wikidata.org/wiki/Q84727930,http://www.aberdeenships.com/single.asp?index=100443
SHEARWATER,https://wikidata.org/wiki/Q52311625,http://www.aberdeenships.com/single.asp?index=101653
SOLA,https://wikidata.org/wiki/Q84711716,http://www.aberdeenships.com/single.asp?index=99907
STEPHEN BROWN,https://wikidata.org/wiki/Q52296650,http://www.aberdeenships.com/single.asp?index=101564
STORNOWAY,https://wikidata.org/wiki/Q7620312,http://www.aberdeenships.com/single.asp?index=100096
STRATHATHOLL,https://wikidata.org/wiki/Q84727811,http://www.aberdeenships.com/single.asp?index=101236
STRATHCLOVA,https://wikidata.org/wiki/Q84711304,http://www.aberdeenships.com/single.asp?index=101258
STRATHRYE,https://wikidata.org/wiki/Q84727881,http://www.aberdeenships.com/single.asp?index=101304
STRONSA FIRTH,https://wikidata.org/wiki/Q84728074,http://www.aberdeenships.com/single.asp?index=99063
TETTENHALL,https://wikidata.org/wiki/Q84727662,http://www.aberdeenships.com/single.asp?index=99715
THERMOPYLAE,https://wikidata.org/wiki/Q1432113,http://www.aberdeenships.com/single.asp?index=99403
THOMAS SUTTON,https://wikidata.org/wiki/Q84711492,http://www.aberdeenships.com/single.asp?index=100438
TIMANDRA,https://wikidata.org/wiki/Q42886800,http://www.aberdeenships.com/single.asp?index=135916
UGIEBANK,https://wikidata.org/wiki/Q84711140,http://www.aberdeenships.com/single.asp?index=101248
VASCO DA GAMA,https://wikidata.org/wiki/Q84711097,http://www.aberdeenships.com/single.asp?index=100381
WILLIAM HANNAM,https://wikidata.org/wiki/Q84711835,http://www.aberdeenships.com/single.asp?index=99901
WILLIAM HUMPHRIES,https://wikidata.org/wiki/Q84728066,http://www.aberdeenships.com/single.asp?index=99898
WILLIAM STROUD,https://wikidata.org/wiki/Q84727874,http://www.aberdeenships.com/single.asp?index=100421
